RXCUI,INGREDIENT
1743722,methylprednisolone
1928545,chlorhexidine
284283,bisacodyl
1046406,amiodarone
1000355,estrogens; conjugated (usp)
1000355,medroxyprogesterone
1049635,acetaminophen
1049635,oxycodone
758523,sumatriptan
198635,ferrous sulfate
854908,bisoprolol
854908,hydrochlorothiazide
833237,diltiazem
833237,enalapril
991188,chlorpromazine
866482,hydrochlorothiazide
866482,metoprolol
245368,simethicone
892355,morphine
1549223,lidocaine
2186001,camphor
2186001,dimethicone
2186001,lidocaine
2186001,menthol
1247658,glycopyrronium
485707,s-adenosylmethionine
2059184,amikacin
1101849,phenol
1790684,hydrocortisone
1048078,atropine
1048078,hyoscyamine
1048078,scopolamine
2570414,bacillus coagulans
705610,ranitidine
2265266,loratadine
1540235,ketorolac
1540235,phenylephrine
309076,cefpodoxime
106818,acetaminophen
106818,caffeine
200349,eptifibatide
1088194,wheat dextrin
141859,acyclovir
904415,nalbuphine
197428,acetaminophen
197428,butalbital
725094,progesterone
1044442,pectin
252298,albuterol
309371,clotrimazole
8787,propranolol
1657750,pembrolizumab
315183,potassium chloride
477343,lanthanum carbonate
310868,hydrocortisone
1087459,chlorpheniramine
1087459,hydrocodone
359228,azathioprine
308973,carbamazepine
198852,simethicone
1115698,oseltamivir
1014675,cetirizine
282485,droperidol
2277370,hydromorphone
800499,ropinirole
1727000,sugammadex
486499,esomeprazole
1314136,lidocaine
1314136,phenylephrine
823934,hydrochlorothiazide
823934,irbesartan
1653049,calcium carbonate
1310487,ibuprofen
1310487,pseudoephedrine
2103182,vasopressin (usp)
835894,cyclosporine
312748,quinapril
637173,cephalexin
308966,carbachol
810077,fesoterodine
728109,oseltamivir
1741410,albumin human; usp
861752,glyburide
861752,metformin
1304560,thiamine
1304560,vitamin a
1304560,vitamin b12
1304560,ascorbic acid
1304560,biotin
1304560,dexpanthenol
1304560,alpha tocopherol
1304560,cholecalciferol
1304560,folic acid
1304560,pyridoxine
1304560,niacinamide
1304560,vitamin k1
1304560,riboflavin
1014571,cetirizine
1014571,pseudoephedrine
351209,voriconazole
835547,petrolatum
197985,minocycline
856908,acetaminophen
856908,hydrocodone
309112,cephalexin
314209,rizatriptan
834357,amiodarone
1090496,dextromethorphan
616483,quetiapine
860516,carvedilol
1292432,varicella-zoster virus vaccine live (oka-merck) strain
81647,phenylbutyrate
1111343,olopatadine
861379,micafungin
1091150,methylphenidate
859050,pramipexole
1439821,riociguat
307707,acetic acid
904396,alendronate
4452,fludrocortisone
238134,aspirin
238134,caffeine
238134,butalbital
992150,methenamine
283407,mirtazapine
686400,erythromycin
1734479,ropivacaine
1112231,naproxen
317174,quetiapine
1723210,alfentanil
854905,bisoprolol
847213,insulin lispro protamine; human
847213,insulin lispro
103968,lamotrigine
245213,activated charcoal
245213,simethicone
351261,lansoprazole
1794904,glucose
1794904,sodium chloride
1596781,testosterone
135805,insulin lispro
241999,epoetin alfa
359385,clarithromycin
317173,captopril
731171,darbepoetin alfa
1552343,netupitant
1552343,palonosetron
313396,thyroid (usp)
310026,doxycycline
59078,metaxalone
309774,glucose
2266818,celecoxib
2266818,amlodipine
204636,calcium carbonate
1302195,potassium chloride
214392,chlorpheniramine
214392,hydrocodone
2054221,albumin human; usp
1115800,magnesium citrate
1115800,potassium citrate
1115800,magnesium oxide
1115800,pyridoxine
998032,ondansetron
1044606,sodium chloride
1298068,cyclopentolate
1298068,phenylephrine
645290,citalopram
198735,lysine
892297,morphine
247513,insulin isophane
247513,insulin; regular; human
856578,propranolol
1791558,oxycodone
905034,risedronate
403908,ciprofloxacin
403908,dexamethasone
1663248,amiodarone
310490,glipizide
199318,folic acid
2380260,insulin lispro
1649944,filgrastim
866042,neomycin
1099074,dextromethorphan
1099074,guaifenesin
757707,tadalafil
386989,calcium carbonate
386989,cholecalciferol
314113,magnesium oxide
349208,sirolimus
308429,atovaquone
897640,verapamil
1657658,cetuximab
1670351,phenytoin
1435169,ferric carboxymaltose
831012,diltiazem
2117608,calcium gluconate
1807646,sodium chloride
1665444,cefuroxime
854921,bisoprolol
854921,hydrochlorothiazide
966271,levothyroxine
410597,ubidecarenone
198627,ferrous gluconate
1000124,medroxyprogesterone
485816,lutein
859188,selegiline
2107355,prucalopride
2058946,omalizumab
206764,lisinopril
2055307,morphine
763250,fenofibrate
847074,taurine
897785,verapamil
897785,trandolapril
1598268,liraglutide
207086,methscopolamine
198504,biotin
1658087,trastuzumab
1010603,buprenorphine
1010603,naloxone
103899,rifabutin
2685,colestipol
197650,erythromycin
322167,solifenacin
142131,magnesium aspartate
199919,valsartan
1086778,vilazodone
104084,ranitidine
311935,neostigmine
260101,oseltamivir
720825,silodosin
6400,linoleate
10046,starch
1716067,buprenorphine
2611250,ezetimibe
2611250,atorvastatin
2102705,pegfilgrastim
991606,carbachol
1794886,glucose
1794886,sodium chloride
687059,cadexomer iodine
2099522,benoxinate
2099522,fluorescein
1193360,levetiracetam
283899,lutein
1788989,methylene blue
1370001,lactobacillus acidophilus
237159,levalbuterol
896023,fluticasone
103439,desonide
844378,witch hazel
1245443,digoxin
8516,polyethylene glycols
42463,pravastatin
213224,ciprofloxacin
1798370,obeticholic acid
602859,magnesium amino acid chelate
152403,flecainide
1672919,bupivacaine
1672919,epinephrine
1867620,bupivacaine
1867620,epinephrine
809014,hydrochlorothiazide
809014,valsartan
241527,estradiol
800444,threonine
800444,tryptophan
800444,arginine
800444,tyrosine
800444,valine
800444,alanine
800444,glucose
800444,glycine
800444,histidine
800444,isoleucine
800444,leucine
800444,lysine
800444,methionine
800444,phenylalanine
800444,proline
800444,serine
308962,captopril
210031,aluminum hydroxide
210031,magnesium hydroxide
210031,simethicone
1809521,immunoglobulin g
729935,zinc oxide
1047437,baclofen
6581,magnesium hydroxide
6448,lithium
1090824,vitamin e
1090824,zinc oxide
1090824,ascorbic acid
1090824,beta carotene
1090824,copper sulfate
1090824,selenite
825411,tapentadol
199387,risperidone
46041,alendronate
32624,oxcarbazepine
2369556,melatonin
864761,methadone
792577,sodium bicarbonate
309308,ciprofloxacin
1665519,levofloxacin
1734921,cyclophosphamide
828358,cyclobenzaprine
861025,metformin
617954,calamine
617954,zinc oxide
1549682,rivaroxaban
1012895,fingolimod
966404,levothyroxine
282781,vitamin e
312424,vitamin k1
861424,propafenone
200064,letrozole
1797883,azelastine
885213,benztropine
310436,galantamine
1658637,heparin
199202,taurine
203105,hydrocortisone
1250685,loperamide
861743,glyburide
861743,metformin
1425120,melatonin
198105,pindolol
794639,lubiprostone
312541,potassium iodide
153823,candesartan
2602117,edaravone
1869697,linaclotide
892342,morphine
283317,hydrochlorothiazide
283317,telmisartan
250976,baclofen
1369783,baclofen
1494667,lacticaseibacillus rhamnosus
1190568,atropine
1190568,diphenoxylate
824959,ropinirole
198899,vitamin k
1232104,zinc oxide
1860129,oxycodone
485416,alprazolam
198488,benzocaine
1373483,dimethyl fumarate
616749,ranolazine
200311,fenofibrate
476827,sennosides; usp
1043642,naphazoline
1544403,methotrexate
1860154,oxycodone
197507,cimetidine
1650003,interferon beta-1a
1653433,doxycycline
2374360,acetaminophen
833713,tramadol
2376942,ursodeoxycholate
314119,nicotine
2398511,gabapentin
418475,clotrimazole
966527,budesonide
1048336,hyoscyamine
1048336,sodium phosphate; monobasic
1048336,phenyl salicylate
1048336,methenamine
1048336,methylene blue
727757,etanercept
310625,guaifenesin
966412,levothyroxine
308188,amoxicillin
313218,terazosin
828353,cyclobenzaprine
2569573,lorazepam
992780,miconazole
1098910,ferrous sulfate
1304979,icosapent ethyl
211874,aspirin
901550,pramipexole
221095,enoxaparin
889520,acetaminophen
889520,caffeine
889520,butalbital
1100184,donepezil
892345,morphine
314047,ibuprofen
140108,caspofungin
312362,phenobarbital
1866543,nalbuphine
1658333,brexpiprazole
205315,topiramate
1734203,ropivacaine
1007530,calcium chloride
1007530,sodium acetate
1007530,sodium citrate
1007530,magnesium chloride
1007530,potassium chloride
1007530,sodium chloride
896161,salmeterol
896161,fluticasone
992858,promethazine
648024,glucosamine
1736541,esmolol
1006688,sulfacetamide
313932,calcitriol
198760,niacin
309329,clindamycin
1654040,adenosine
903291,benzonatate
309322,clarithromycin
312899,salsalate
797238,vitamin b12
797238,cobamamide
313820,acetaminophen
252294,simethicone
2056504,levothyroxine
669081,desonide
722295,rotigotine
904425,alendronate
205304,telmisartan
731567,penicillin g
861356,fondaparinux
1241471,carboxymethylcellulose
1241471,glycerin
1241471,polysorbate 80
308459,azithromycin
1792381,biotin
2056492,levothyroxine
253059,levocarnitine
996603,memantine
995438,codeine
995438,guaifenesin
135779,glatiramer
353099,ezetimibe
491498,carboxymethylcellulose
966175,levothyroxine
42940,amitriptyline
378617,fluocinonide
372599,lidocaine
2371796,glycopyrronium
578457,entecavir
864737,methadone
707544,sodium chloride
616103,glucose
1739890,cefoxitin
1369756,loratadine
1369756,pseudoephedrine
701858,dapsone
848524,diltiazem
1743855,methylprednisolone
261109,fentanyl
1101448,doxylamine
835921,cyclosporine
998329,undecylenate
853019,clindamycin
801019,threonine
801019,tryptophan
801019,arginine
801019,tyrosine
801019,valine
801019,calcium chloride
801019,alanine
801019,glucose
801019,glycine
801019,histidine
801019,dibasic potassium phosphate
801019,sodium acetate
801019,isoleucine
801019,leucine
801019,lysine
801019,magnesium chloride
801019,methionine
801019,phenylalanine
801019,proline
801019,serine
801019,sodium chloride
1009416,lidocaine
1666623,baclofen
403828,calcium carbonate
403828,simethicone
762834,somatropin
216459,valproate
2387078,vancomycin
668624,fentanyl
582330,sumatriptan
896228,salmeterol
896228,fluticasone
616402,duloxetine
1946651,vaborbactam
1946651,meropenem
750239,amlodipine
750239,atorvastatin
863586,metoclopramide
1098616,lidocaine
261337,olanzapine
1987017,capsaicin
1987017,trolamine salicylate
1987017,lidocaine
827778,carbamide peroxide
309889,digoxin
1926849,methylphenidate
212787,cimetidine
1242992,vismodegib
1099872,acetaminophen
1099872,diphenhydramine
198471,aspirin
198038,nitroglycerin
210036,aluminum hydroxide
210036,magnesium hydroxide
210036,simethicone
198556,capsaicin
721797,quetiapine
758027,interferon beta-1a
1053663,fentanyl
1486837,ketamine
1012204,lidocaine
1744007,emtricitabine
1744007,tenofovir disoproxil
1185636,psyllium
1741377,albumin human; usp
1724885,bupivacaine
1992566,glycopyrronium
2395504,remdesivir
809026,hydrochlorothiazide
809026,valsartan
1801283,fluocinonide
2465255,imdevimab
857336,bethanechol
2619684,estradiol
213282,hydroxyurea
754505,olanzapine
803371,hepatitis b surface antigen vaccine
803371,hepatitis a vaccine (inactivated) strain hm175
849522,desmopressin
833143,milnacipran
1242408,doxazosin
2106821,carboxymethylcellulose
860244,interferon beta-1b
207779,nimodipine
898499,collagenase clostridium histolyticum
861167,propafenone
1117539,acetaminophen
1117539,diphenhydramine
1860492,hydrocodone
861045,pramlintide
731571,penicillin g
1087167,psyllium
1551923,naloxegol
1362211,pramoxine
1362211,hydrocortisone
967944,diclofenac
322155,fondaparinux
404476,azathioprine
404638,vardenafil
1804746,anidulafungin
896031,fluticasone
2166578,thyrotropin alfa
1724880,bupivacaine
644790,vitamin b12
644790,vitamin b6
644790,folic acid
1251727,linseed oil
860922,copper gluconate
577099,plant stanol ester
312127,oxacillin
543492,hydrocortisone
2563431,aspirin
999717,potassium nitrate
999717,sodium fluoride
863606,erythromycin
207137,methylprednisolone
1111703,potassium iodide
21183,citric acid
1191394,iodoquinol
1191394,aloe polysaccharide
1191394,hydrocortisone
285127,ziprasidone
2683,colchicine
1873765,plecanatide
208331,tretinoin
2564021,influenza a virus (h1n1) antigen
2564021,influenza a virus (h3n2) antigen
2564021,influenza b virus antigen
807284,sodium bicarbonate
689561,acetaminophen
689561,caffeine
689561,butalbital
689561,codeine
825409,tapentadol
214342,calcium acetate
1053142,diphenhydramine
1053142,zinc acetate
312952,silver nitrate
755298,zidovudine
207248,oxiconazole
2000019,ibrutinib
2475349,benzalkonium
1043708,naphazoline
1043708,pheniramine
1867993,epinephrine
1867993,lidocaine
351291,cyclosporine
106199,urea
825413,tapentadol
7315,neostigmine
749841,hydrochlorothiazide
749841,telmisartan
6373,levonorgestrel
153183,adapalene
706829,risperidone
1737637,lidocaine
844591,theophylline
798479,hepatitis a vaccine (inactivated) strain hm175
1014580,cetirizine
1014580,pseudoephedrine
314157,oseltamivir
1049770,pseudoephedrine
860884,fenofibrate
898517,potassium citrate
205336,hydrogen peroxide
213927,cefixime
44281,cevimeline
853136,capsaicin
853136,menthol
884535,dextroamphetamine
1648788,vilanterol
1648788,fluticasone
978001,loperamide
978001,simethicone
855306,warfarin
1157100,timolol
645555,bacitracin
645555,polymyxin b
2257010,ivacaftor
2257010,tezacaftor
2257010,elexacaftor
1302636,calcium carbonate
1302636,prasterone
1009148,sulbactam
1009148,ampicillin
994237,aspirin
994237,caffeine
994237,butalbital
994237,codeine
859190,selegiline
1860127,oxycodone
283316,hydrochlorothiazide
283316,telmisartan
1809212,immunoglobulin g
2107616,levodopa
349482,oxybate
845488,ramipril
904462,cholecalciferol
904462,alendronate
899989,pioglitazone
899989,metformin
1190953,testosterone
1086259,triamcinolone
2120550,diazepam
311714,heavy mineral oil
198951,vitamin b6
616287,sunitinib
1809445,immunoglobulin g
749813,lanreotide
1009100,vitamin e
1009100,lutein
1009100,zinc oxide
1009100,ascorbic acid
1009100,cuprous oxide
352845,vitamin e
352845,lutein
352845,zinc oxide
352845,ascorbic acid
352845,cuprous oxide
2167673,botulinum toxin type b
1665449,cefuroxime
749850,norgestimate
749850,estradiol
1297761,esomeprazole
997488,fexofenadine
1544385,methotrexate
2553901,semaglutide
664741,atazanavir
891692,cholecalciferol
1922783,timolol
1922783,dorzolamide
372971,mupirocin
541245,omeprazole
39171,brimonidine
203001,pyridostigmine
1747185,methotrexate
1049670,pseudoephedrine
1747192,methotrexate
2387326,glycopyrronium
2387326,budesonide
2387326,formoterol
214299,benzocaine
214299,docusate
203457,diphenhydramine
9001,pyridostigmine
202693,labetalol
992582,castor oil
992582,peruvian balsam
2287903,fremanezumab
1243052,ivacaftor
1652363,hyoscyamine
1149355,hyoscyamine
210759,magnesium gluconate
1665895,evolocumab
198231,sulfamethoxazole
432400,cinacalcet
1085738,triamcinolone
315880,estradiol
2593382,baclofen
1111822,pseudoephedrine
855300,warfarin
749860,norgestimate
749860,ethinyl estradiol
749860,inert ingredients
861748,glyburide
861748,metformin
1944376,amantadine
995667,meclizine
1012018,lidocaine
565025,meloxicam
403921,ciprofloxacin
310792,hydrochlorothiazide
310792,irbesartan
1652104,lidocaine
310176,estradiol
856483,propranolol
369419,olmesartan
1539893,vilanterol
1539893,fluticasone
1918230,valbenazine
284496,tazarotene
1020066,risedronate
858044,saxagliptin
370573,amlodipine
197745,guanfacine
371044,beta carotene
608624,metoclopramide
896014,fluticasone
238851,povidone-iodine
2474007,olopatadine
284593,methotrexate
2611248,ezetimibe
2611248,atorvastatin
829758,calcium carbonate
829758,cholecalciferol
829758,vitamin k1
104052,propantheline
1087620,thiamine
1087620,vitamin b12
1087620,ascorbic acid
1087620,biotin
1087620,folic acid
1087620,pantothenate
1087620,pyridoxine
1087620,niacin
1087620,riboflavin
898361,amlodipine
898361,benazepril
845512,everolimus
216074,magnesium citrate
2100019,panthenol
2100019,menthol
2100019,salicylic acid
1604336,metronidazole
892259,levothyroxine
106808,scopolamine
207850,tobramycin
104706,diazepam
310673,haloperidol
104220,furosemide
252413,topiramate
1551885,lanthanum carbonate
994824,orphenadrine
866452,hydrochlorothiazide
866452,metoprolol
1297660,esomeprazole
845478,topiramate
2395835,fluticasone
1314786,thiamine
1314786,polysaccharide iron complex
1314786,vitamin b12
1314786,copper sulfate
1314786,ferrous fumarate
1314786,sodium ascorbate
1314786,manganese sulfate
1314786,zinc sulfate
1314786,folic acid
1314786,pantothenate
1314786,magnesium sulfate
1314786,pyridoxine
1314786,niacinamide
1314786,riboflavin
1116547,sodium chloride
199648,melatonin
1010053,lidocaine
389175,esomeprazole
899703,nitroglycerin
2166148,levothyroxine
1099281,docusate
2105776,clavulanate
2105776,amoxicillin
312058,nystatin
1372312,acetaminophen
1372312,chlorpheniramine
1372312,phenylephrine
598008,erythromycin
2395775,vilanterol
2395775,umeclidinium
2395775,fluticasone
1867996,epinephrine
1867996,lidocaine
1300017,dextromethorphan
1300017,guaifenesin
1300017,pseudoephedrine
996580,codeine
996580,phenylephrine
996580,pyrilamine
1012169,epinephrine
1012169,lidocaine
863852,morphine
863852,naltrexone
848140,amlodipine
848140,hydrochlorothiazide
848140,valsartan
802693,thiamine
802693,vitamin b12
802693,copper sulfate
802693,ferrous fumarate
802693,sodium ascorbate
802693,manganese sulfate
802693,zinc sulfate
802693,folic acid
802693,magnesium sulfate
802693,pyridoxine
802693,niacinamide
802693,pantothenic acid
802693,riboflavin
830880,diltiazem
2173667,triprolidine
2173667,acetaminophen
2173667,dextromethorphan
205316,topiramate
857128,acetaminophen
857128,hydrocodone
1050812,amlodipine
1050812,aliskiren
1050812,hydrochlorothiazide
1437793,miconazole
992900,promethazine
1593450,acetaminophen
1593450,dextromethorphan
1593450,guaifenesin
1593450,phenylephrine
215700,sennosides; usp
2272626,diazepam
199771,methylprednisolone
1044444,pectin
1716012,vitamin a
1716012,alpha tocopherol
1716012,cholecalciferol
896976,hydrochlorothiazide
896976,labetalol
672920,nifedipine
2377373,levamlodipine
247840,albuterol
750139,sodium chloride
308914,calcium carbonate
895990,fluticasone
645291,citalopram
836268,vitamin b12
836268,ascorbic acid
836268,iron carbonyl
836268,folic acid
836268,docusate
900164,lamotrigine
310796,quinapril
310796,hydrochlorothiazide
1994347,hepatitis b surface antigen vaccine
1652827,rabies immune globulin; human
967385,amphotericin b
686350,erythromycin
876858,thiamine
876858,vitamin a
876858,vitamin b12
876858,vitamin e
876858,ascorbic acid
876858,cholecalciferol
876858,vitamin b6
876858,niacin
876858,riboflavin
1092416,diphenhydramine
1859553,ranitidine
866048,salmeterol
995156,lacosamide
242590,ferrous gluconate
1870230,epinephrine
194881,brinzolamide
865123,fluphenazine
1245976,hyaluronate
1790099,doxorubicin
977874,oxymorphone
2380851,influenza a virus (h1n1) antigen
2380851,influenza a virus (h3n2) antigen
2380851,influenza b virus antigen
2101281,acetaminophen
2101281,dextromethorphan
2375818,mitomycin
544550,citric acid
544550,sodium citrate
2479567,labetalol
1540361,hypromellose
608139,atomoxetine
901537,pramipexole
1117245,acetaminophen
1117245,diphenhydramine
2265644,ubidecarenone
2265644,red yeast rice
283293,ascorbic acid
1100007,methyl salicylate
1100007,menthol
848131,amlodipine
848131,hydrochlorothiazide
848131,valsartan
2557245,casirivimab
2557245,imdevimab
1864412,buprenorphine
1864412,naloxone
1431076,buprenorphine
1431076,naloxone
2200181,duloxetine
125921,ginger root
1945040,vilanterol
1945040,umeclidinium
1945040,fluticasone
757674,amlodipine
197971,methylprednisolone
2167571,rosuvastatin
835726,acamprosate
891793,vitamin e
891793,zinc oxide
891793,ascorbic acid
891793,beta carotene
891793,cuprous oxide
1673147,bupivacaine
1673147,epinephrine
1742400,albumin human; usp
1664456,tacrolimus
203164,pyridoxine
904954,ibandronate
2480095,acetaminophen
1872271,hydromorphone
899557,dexmethylphenidate
1234581,phenylephrine
542304,oxygen
1361410,capsaicin
1361410,methyl salicylate
1361410,lidocaine
1361410,menthol
1670016,insulin degludec
631504,sodium chloride
200801,furosemide
1665050,cefazolin
1860241,potassium chloride
214097,chlorzoxazone
993545,bupropion
1361607,heparin
1093280,docetaxel
141927,alprazolam
1719669,haloperidol
351989,sirolimus
1731020,levetiracetam
141928,alprazolam
213169,clopidogrel
1596783,testosterone
617320,atorvastatin
1795254,glucose
1795254,sodium chloride
402106,eplerenone
1049504,oxycodone
214003,alprazolam
205830,glipizide
884175,clonidine
153735,tizanidine
104385,ramipril
205532,dornase alfa
205743,ganciclovir
105030,gabapentin
966282,levothyroxine
260330,methylprednisolone
1000915,pilocarpine
979473,losartan
979473,hydrochlorothiazide
1190331,fexofenadine
1190331,pseudoephedrine
804146,cholecalciferol
833741,calcium carbonate
833741,cholecalciferol
476809,mirtazapine
311450,mannitol
897712,hydromorphone
1548724,prednisolone
861210,brimonidine
672910,carbamazepine
207331,nitroglycerin
197552,cyclosporine
240793,nitroprusside
309987,dobutamine
966571,hydralazine
1099871,valproate
854870,rabeprazole
1364441,apixaban
891301,guaifenesin
539712,nitrofurantoin
213360,thalidomide
104895,ondansetron
153734,tizanidine
207685,prochlorperazine
729929,venlafaxine
1373128,dextromethorphan
746466,levalbuterol
616435,mycophenolate mofetil
1812168,dobutamine
104490,simvastatin
206206,lansoprazole
1986354,insulin aspart; human
617432,clavulanate
617432,amoxicillin
904477,pravastatin
1659600,sulbactam
1659600,ampicillin
151228,topiramate
212388,carvedilol
207016,methocarbamol
584201,tigecycline
1232088,rivaroxaban
898603,octreotide
208450,sumatriptan
153845,glimepiride
1486200,ribavirin
1807549,sodium chloride
1928570,potassium phosphate
1928570,dibasic potassium phosphate
205717,dexamethasone
404588,imatinib
237656,glucose
206423,ceftazidime
1112233,naproxen
688242,estrogens; conjugated (usp)
1049227,acetaminophen
1049227,oxycodone
1115562,thioctate
352001,valsartan
150985,water
835842,testosterone
997515,fexofenadine
997515,pseudoephedrine
1659151,tazobactam
1659151,piperacillin
2572293,cyclosporine
212810,cyclosporine
797544,isopropyl alcohol
5224,heparin
198891,vitamin b12
860195,botulinum toxin type a
857226,sevelamer
1236013,ubiquinol
1001690,potassium sulfate
1001690,sodium sulfate
1001690,magnesium sulfate
2566190,bupivacaine
826614,silodosin
861002,metformin
2586032,carbidopa
2586032,levodopa
104420,felodipine
4910,glycerin
1191250,naloxone
855816,prasugrel
865571,glipizide
727361,adenosine
859979,asenapine
104783,risperidone
214083,chlorthalidone
2107621,levodopa
284514,olanzapine
731245,darbepoetin alfa
1114202,rivaroxaban
1657660,cetuximab
1116639,ticagrelor
835917,cyclosporine
608844,ketoconazole
1111263,potassium bicarbonate
1099302,desipramine
746803,mometasone
724891,amlodipine
724891,valsartan
105898,naproxen
1223,atropine
897696,hydromorphone
39993,zolpidem
966253,levothyroxine
904475,pravastatin
723846,orlistat
1115552,thioctate
284516,prednisolone
4053,erythromycin
237205,nitroglycerin
1001691,calcium carbonate
1001691,cholecalciferol
1001691,vitamin k1
1668250,calcium gluconate
1117536,potassium nitrate
1117536,silver nitrate
1868469,sodium bicarbonate
722126,amlodipine
722126,valsartan
211322,mirtazapine
1245420,ezetimibe
1245420,simvastatin
311670,metoclopramide
153667,irbesartan
1247761,docusate
1667916,isoproterenol
4337,fentanyl
205488,bumetanide
861472,clobetasol
1037049,dabigatran etexilate
797641,neisseria meningitidis serogroup a capsular polysaccharide diphtheria toxoid protein conjugate vaccine
797641,neisseria meningitidis serogroup c capsular polysaccharide diphtheria toxoid protein conjugate vaccine
797641,neisseria meningitidis serogroup w-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine
797641,neisseria meningitidis serogroup y capsular polysaccharide diphtheria toxoid protein conjugate vaccine
209217,norepinephrine
198630,ferrous gluconate
1087463,chlorpheniramine
1087463,hydrocodone
1053146,mineral oil
1053146,petrolatum
1731082,fosaprepitant
1037181,dabigatran etexilate
863829,lipase
863829,amylase
863829,protease
209339,nortriptyline
284425,busulfan
854256,enoxaparin
213361,infliximab
1313884,phenytoin
313996,gentamicin
866912,colesevelam
672519,biotin
672519,cysteine
672519,silicon dioxide
849517,desmopressin
249364,cytarabine
210887,magnesium hydroxide
208660,tropicamide
352308,aripiprazole
979470,losartan
979470,hydrochlorothiazide
856658,dantrolene
199083,ascorbic acid
992876,promethazine
351761,valsartan
903845,pyridostigmine
1307421,linaclotide
105392,dexamethasone
1010763,epinephrine
1010763,lidocaine
1665906,evolocumab
998681,clonidine
308704,beta carotene
261267,pioglitazone
312984,sodium chloride
1366212,simethicone
284548,ziprasidone
1244215,budesonide
151229,topiramate
794641,lubiprostone
1482912,posaconazole
1722941,meropenem
1089355,psyllium
1737723,lidocaine
1010654,methocarbamol
1597130,testosterone
240755,calcium citrate
104112,mesalamine
284460,sumatriptan
108758,mupirocin
1736547,esmolol
1668267,erythromycin
2562542,calcium gluconate
8091,petrolatum
849503,desmopressin
1010846,lidocaine
1729581,remifentanil
2398842,semaglutide
545236,gentamicin
1597074,testosterone
1298324,dextromethorphan
1298324,guaifenesin
2598,clonazepam
206856,isosorbide
688704,bacitracin
688704,hydrocortisone
688704,neomycin
688704,polymyxin b
805663,armodafinil
1246321,formoterol
1724794,bupivacaine
895666,diphenhydramine
895666,ibuprofen
1658262,magnesium sulfate
6847,methohexital
261291,temozolomide
2045032,wheat dextrin
1655934,ivacaftor
1655934,lumacaftor
2669,cod liver oil
6960,midazolam
310429,furosemide
349351,desonide
284215,clindamycin
857004,acetaminophen
857004,hydrocodone
310346,finasteride
892582,morphine
198624,ferrous fumarate
226827,azithromycin
210918,magnesium lactate
198440,acetaminophen
310385,fluoxetine
1164058,lidocaine
1164058,prilocaine
200345,simvastatin
214199,albuterol
214199,ipratropium
856377,trazodone
197700,fluconazole
140587,celecoxib
8782,propofol
2231,cephalexin
349201,valsartan
61381,olanzapine
896209,salmeterol
896209,fluticasone
308416,aspirin
4917,nitroglycerin
992447,promethazine
884532,dextroamphetamine
313782,acetaminophen
308517,baclofen
1152702,calamine
311666,metoclopramide
325642,ertapenem
310289,fenofibrate
1158231,triamcinolone
995666,meclizine
996609,memantine
197529,clonazepam
830801,diltiazem
668956,arformoterol
857099,acetaminophen
857099,hydrocodone
855626,diclofenac
312846,ropinirole
243675,acetaminophen
5640,ibuprofen
1049909,diphenhydramine
198014,naproxen
855288,warfarin
978010,loperamide
476350,ezetimibe
476350,simvastatin
8120,phenazopyridine
1049618,oxycodone
903891,fluvoxamine
562106,hyaluronate
262090,oxcarbazepine
1046984,hyoscyamine
752388,insulin lispro protamine; human
752388,insulin lispro
1242503,meperidine
312507,potassium chloride
1487524,vilanterol
1487524,umeclidinium
237371,sodium acetate
1012388,bupivacaine
1012388,epinephrine
7824,oxytocin
847014,potassium nitrate
847014,sodium fluoride
209363,acetaminophen
979434,esmolol
997012,quinine
857799,treprostinil
809984,lacosamide
855871,phenytoin
208451,trimethoprim
208451,polymyxin b
199292,arginine
313717,vitamin e
206969,indomethacin
197451,cefixime
9863,sodium chloride
135447,donepezil
349196,clonazepam
833204,dexlansoprazole
197511,ciprofloxacin
311430,magnesium oxide
212342,vitamin b complex
896235,salmeterol
896235,fluticasone
26225,ondansetron
855344,warfarin
261119,metronidazole
2168350,lacticaseibacillus rhamnosus
992399,gatifloxacin
483017,acetaminophen
351109,budesonide
312087,ondansetron
310132,epinephrine
898358,amlodipine
898358,benazepril
724606,carbidopa
724606,levodopa
854896,zolpidem
2048917,estradiol
1745091,lidocaine
866511,metoprolol
1795480,glucose
314192,prochlorperazine
1807631,sodium chloride
308753,bisacodyl
1046978,atropine
1046978,hyoscyamine
1046978,phenobarbital
1046978,scopolamine
314035,haloperidol
1741762,albumin human; usp
1799706,soybean oil
1732136,morphine
259255,atorvastatin
1020021,cetirizine
858828,enalapril
858828,hydrochlorothiazide
1012017,sulfacetamide
1012017,prednisolone
1370772,hydrocortisone
211511,azithromycin
859033,pramipexole
1243004,axitinib
1654006,etomidate
204870,mesna
198641,folic acid
1923432,timolol
1923432,dorzolamide
197318,albuterol
1099279,docusate
1012066,lidocaine
861404,phenoxybenzamine
1358610,methylprednisolone
485465,eszopiclone
6809,metformin
47613,calcium citrate
1599792,secukinumab
8640,prednisone
857560,trospium
855633,diclofenac
856569,propranolol
727360,adenosine
252870,ubidecarenone
846138,cholecalciferol
1923426,sotalol
1721460,nafcillin
1791065,psyllium
1741423,albumin human; usp
486501,esomeprazole
1807630,sodium chloride
892251,levothyroxine
994435,aspirin
994435,caffeine
