"idx","provider_name","center_type","phone","address_1","address_2","address_3"
259,"sanford coordinated treatment center","mda care center","7012346600","736 broadway rt 1049",NA,"fargo; nd 58122"
260,"roseman university als clinic","affiliated clinic","7024634040","5380 s. rainbow","ste 120","las vegas; nv 89118"
261,"las vegas clinic – als clinic","affiliated clinic","7025054230","351 n. buffalo dr.","suite b","las vegas; nv 89145"
262,"carolinas medical center","mda clinic","7044461900","1010 edgehill road north",NA,"charlotte; nc 28207"
263,"atrium health als center","affiliated clinic","7044466254","university of north carolina school of medicine – charlotte campus","1010 edgehill rd.","north charlotte; nc 28207"
264,"augusta university als clinic","certified treatment center of excellence","7067212681","1120 15th st.",NA,"augusta; ga 30912"
265,"macon als clinic","affiliated clinic","7067214581","3351 northside dr.",NA,"macon; ga 31210"
266,"edward hines- jr. va als multidisciplinary clinic","veterans administration","7082028387","5000 s. 5th ave.","bld 228 neurology; 5th floor","hines; il 60141"
267,"houston methodist neurological institute","mda/als care center","7133637310","6560 fannin street","suite 802","houston; tx 77030"
268,"houston methodist als clinic","certified treatment center of excellence","7134413760","6560 fannin","suite 802","houston; tx 77030"
269,"baylor college of medicine","mda clinic","7137982273","7200 cambridge street suite 9a",NA,"houston; tx 77030"
270,"baylor college of medicine","certified treatment center of excellence","7137987411","6550 fannin st.","suite 1801 (smith tower)","houston; tx 77030"
271,"uc irvine als clinic","certified treatment center of excellence","7144562332","200 s. manchester","suite 110","orange; ca 92868"
272,"children's hospital of orange county","mda care center","7145097981","501 s. main street","suite 350","orange; ca 92868"
273,"dent neurologic institute","affiliated clinic","7162502000","3980 sheridan drive",NA,"buffalo; ny 14226"
274,"university of buffalo","mda care center","7169326080","1001 main street",NA,"buffalo; ny 14203"
275,"penn state hershey medical center","mda care center","7175313828","30 hope drive","suite 1300","hershey; pa 17033"
276,"suny downstate medical center","mda care center","7182707207","450 clarkson avenue",NA,"brooklyn; ny 11203"
277,"suny downstate at maimonides medical center","mda care center","7182837470","6323 7th ave",NA,"brooklyn; ny 11220"
278,"montefiore medical center","mda care center","7184058140","1515 blondell ave.","suite 220","bronx; ny 10461"
279,"als association clinic program at the james j. peters va medical center","veterans administration","7185849000","130 west kingsbridge rd.","jjpvamc room 5c-02; 5th floor","bronx; ny 10468"
280,"children's hospital of colorado","mda care center","7207772806","13123 e. 16th avenue",NA,"aurora; co 80045"
281,"university of colorado","affiliated clinic","7208482080","12605 e. 16th ave.",NA,"aurora; co 80045"
282,"st. anthony's neurology group","mda care center","7278207701","1201 5th avenue north","medical office building suite 202","st. petersburg; fl 33705"
283,"rutgers robert wood johnson medical school","certified treatment center of excellence","7322357733","125 paterson st.","clinical academic bldg.; suite 6100","new brunswick; nj 08903"
284,"hackensack meridian jersey shore university medical center als center","certified treatment center of excellence","7327763307","2100 corlies avenue","suite 2","neptune; nj 07753"
285,"university of michigan- pediatric rehabilitation center","mda care center","7349364179","2205 commonwealth blvd",NA,"ann arbor; mi 48105"
286,"university of michigan- adult","mda care center","7349369006","325 e eisenhower pkwy","suite 100","ann arbor; mi 48108"
287,"the university of michigan health system","certified treatment center of excellence","7349369020","1500 east medical center dr. ann arbor; mi 48109",NA,"ann arbor; mi 48109"
288,"sentara als clinic","affiliated clinic","7575070600","1950 glenn mitchell dr.","suite 200","virginia beach; va 23456"
289,"the riverside als clinic","affiliated clinic","7576377500","850 enterprise parkway; ste. 1400",NA,"hampton; va 23666"
290,"children's hospital of the kings daughters","mda care center","7576686494","850 southampton avenue","neurology 1st floor","norfolk; va 23510"
291,"maple grove clinic","mda clinic","7638981080","14500 99th avenue north",NA,"maple grove; mn 55369"
292,"shriners hospital for children- chicago","mda care center","7736225400","2211 n. oak park avenue",NA,"chicago; il 60707"
293,"the university of chicago","certified treatment center of excellence","7737025659","5841 s. maryland ave.","mc 2030","chicago; il 60637"
294,"st mary’s medical group als clinic","affiliated clinic","7757703554","645 n. arlington ave.","suite 655","reno; nv 89503"
295,"lahey clinic","mda care affiliate","7817445100","41 burlington mall road",NA,"burlington; ma 01805"
296,"the curt and shonda schilling als clinic at lahey hospital and medical center","certified treatment center of excellence","7817447273","41 mall rd.",NA,"burlington; ma 01805"
297,"instituto de rehabilitación del caribe","mda care center","7875047554","264 calle convento",NA,"san juan; pr 00911"
298,"university of puerto rico","mda care center","7877587910","1101-1113 cll 56 se",NA,"san juan; pr 00921"
299,"ponce health sciences university","mda care center","7878400052","388 zona ind reparada 2",NA,"ponce; pr 00716"
300,"oregon health and sciences university als clinic","certified treatment center of excellence","8002456478","3181 sw sam jackson park rd.","cr120","portland; or 97239"
301,"richard r. dart als clinic","certified treatment center of excellence","8002513627","university hospital","1221 lee st.; fourth floor","charlottesville; va 22908"
302,"penn state hershey als clinic and research center","certified treatment center of excellence","8002923332","30 hope dr.",NA,"hershey; pa 17033"
303,"sanford health neuroscience","affiliated clinic","8004374010","736 broadway",NA,"fargo; nd 58122"
304,"marshfield clinic","mda care affiliate","8006993377","1000 n. oak avenue",NA,"marshfield; wi 54449"
305,"jim ""catfish"" hunter als clinic","recognized treatment center","8007754840","outpatient rehab building","2310 stantonsburg rd.","greenville; nc 27835"
306,"kaiser permanente als clinic - la","recognized treatment center","8009548000","1505 n. edgemont st.","5th floor","los angeles; ca 90027"
307,"university of utah mnd clinic","certified treatment center of excellence","8015856052","175 n. medical dr.","5th floor","salt lake city; ut 84132"
308,"university of utah medical center","mda/als care center","8015857575","175 n. medical drive east","4th floor","salt lake city; ut 84132"
309,"university of vermont medical center als clinic","certified treatment center of excellence","8028474589","790 college parkway",NA,"colchester; vt 05401"
310,"children's hospital of richmond","mda care center","8046285804","1000 e. broad street","3rd floor room 3-336","richmond; va 23298"
311,"virginia commonwealth university als clinic","affiliated clinic","8048280371","11958 w. broad st.",NA,"henrico; va 23233"
312,"virginia commonwealth university","mda care center","8048289350","11958 w. broad street","4th floor","richmond; va 23233"
313,"kaiser permanente als clinic - honolulu","affiliated clinic","8084328000","3288 moanalua rd.","4th floor; neurology","honolulu; hi 96819"
314,"neurology associates- honolulu","mda clinic","8085235886","321 n. kuakini street",NA,"honolulu; hi 96817"
315,"university of south florida als clinic","certified treatment center of excellence","8139749273","13330 laurel dr.",NA,"tampa; fl 33612"
316,"conemaugh health system als clinic","affiliated clinic","8142695061","1450 scalp ave.","suite 120","johnstown; pa 15904"
317,"upmc northshore neurosciences","mda clinic","8148774600","120 e. 2nd street","3rd floor","erie; pa 16507"
318,"upmc northshore neurology","affiliated clinic","8148778000","120 e 2nd st.","3rd floor","erie; pa 16507"
319,"methodist neurology associates","mda care affiliate","8172250410","2800 e. broad street","suite 421","mansfield; tx 76063"
320,"olive view medical center","mda care center","8183643104","14445 olive view drive",NA,"sylmar; ca 91342"
321,"texas children's hospital","mda care center","8328223554","6701 fannin street","9th floor","houston; tx 77030"
322,"ralph h. johnson vamc als clinic","veterans administration","8435775011","109 bee st.",NA,"charleston; sc 29401"
323,"medical university of south carolina","certified treatment center of excellence","8437923223","135 rutledge ave.",NA,"charleston; sc 29425"
324,"kaiser permanente als clinic - woodland hills","affiliated clinic","8558920919","5601 de soto avenue",NA,"woodland hills; ca 91367"
325,"va boston healthcare system","veterans administration","8573646964","150 south huntington avenue",NA,"jamaica plain; ma 02130"
326,"university of california- san diego- adult care center","mda/als care center","8586578540","4510 executive drive","suite 325","san diego; ca 92121"
327,"rady children's hospital","mda care center","8589668108","8001 frost street","3rd floor","san diego; ca 92123"
328,"university of kentucky","certified treatment center of excellence","8592185061","740 south limestone st.",NA,"lexington; ky 40536"
329,"the neuromuscular center at hospital for special care","certified treatment center of excellence","8608274924","2150 corbin ave.",NA,"new britain; ct 06053"
330,"connecticut children's medical center - farmington","mda care center","8608377500","505 farmington avenue","2nd floor","farmington; ct 06032"
331,"greenville health system als clinic","recognized treatment center","8644544500","200 patewood dr.","suite b350","greenville; sc 29615"
332,"greenville hospital system pediatric care center","mda clinic","8645738732","249 n. grove medical park drive",NA,"spartanburg; sc 29303"
333,"northshore university health system","affiliated clinic","8775707020","2100 pfingsten rd.",NA,"glenview; il 60026"
334,"wesley neurology","mda/als care center","9012613500","8000 centerview parkway","suite 305","cordova; tn 38018"
335,"methodist le bonheur community outreach","mda care center","9012876265","600 jefferson ave",NA,"memphis; tn 38105"
336,"the als clinic of the midsouth","affiliated clinic","9017544425","1365 s germantown rd",NA,"germantown; tn 38138"
337,"uf health jacksonville multidisciplinary als clinic","certified treatment center of excellence","9042449922","580 west 8th st.","tower 1; 9th floor","jacksonville; fl 32209"
338,"mayo clinic florida","certified treatment center of excellence","9049532000","4500 san pablo rd. south",NA,"jacksonville; fl 32224"
339,"mayo clinic- jacksonville","mda/als care center","9049536869","4500 san pablo road south","2nd floor","jacksonville; fl 32224"
340,"kaiser permanente als clinic - fontana","affiliated clinic","9094275416","9985 sierra ave.",NA,"fontana; ca 92335"
341,"the center for restorative neurology at loma linda university neurology","certified treatment center of excellence","9095585977","11370 anderson st.","suite 2400","loma linda; ca 92354"
342,"loma linda university - upland","mda clinic","9098351810","901 san bernardino road","suite 302","upland; ca 91786"
343,"university of kansas medical center","certified treatment center of excellence","9135880656","3599 rainbow blvd.","ms 2012","kansas city; ks 66160"
344,"university of kansas medical center","mda/als care center","9135886820","3599 rainbow blvd.",NA,"kansas city; ks 66103"
345,"white plains hospital and medical center","mda care affiliate","9146811128","41 east post rd.",NA,"white plains; ny 10601"
346,"texas tech university health sciences center el paso","affiliated clinic","9152155900","4801 alberta ave.",NA,"el paso; tx 79905"
347,"uc davis multidisciplinary als clinic","certified treatment center of excellence","9167346304","4860 y st.","suite 1700","sacramento; ca 95817"
348,"university of california- davis","mda/als care center","9167347041","4860 y street ste. 1700","department of physical medicine & rehabilitation","sacramento; ca 95817"
349,"neurology llpc of tulsa","mda care center","9187477517","1919 s. wheeling avenue","suite 707","tulsa; ok 74104"
350,"lennox baker children's hospital","mda clinic","9196136832","3000 erwin road",NA,"durham; nc 27705"
351,"duke university als center","certified treatment center of excellence","9196682875","932 morreene rd.","box 3333","durham; nc 27705"
352,"duke university","mda care center","9196815176","200 trent drive","clinic 1-l","durham; nc 27710"
353,"the als clinic at the university of north carolina at chapel hill","affiliated clinic","9198437857","194 finley gold course rd.","suite 200","chapel hill; nc 27517"
354,"university of north carolina","mda care center","9199669281","194 finley golf course road","suite 200","chapel hill; nc 27517"
355,"prevea health- pediatric care center","mda care center","9202721270","1821 s. webster avenue",NA,"green bay; wi 54301"
356,"prevea health- adult care center","mda care center","9202721610","1821 s. webster avenue",NA,"green bay; wi 54301"
357,"children's hospital of wisconsin- fox valley","mda care center","9209697900","130 2nd st","west pavillion","neenah; wi 54956"
358,"kaiser permanente als clinic - martinez","affiliated clinic","9253721768","200 muir rd.","martinez; ca 94553","joanna dearlove m.d."
359,"sarasota memorial health care system - center for neuromuscular disorders","affiliated clinic","9419178900","5880 rand blvd.","ste. 209","sarasota; fl 34239"
360,"kaiser permanente als clinic - riverside","affiliated clinic","9513534360","neurology department","10800 magnolia ave.","riverside; ca 92505"
361,"phil smith neuroscience institute als clinic & research center at holy cross health","certified treatment center of excellence","9545423436","1931 ne 47th street",NA,"fort lauderdale; fl 33308"
362,"doctors' hospital at renaissance","affiliated clinic","9563622440","2821 michael angelo dr.","ste. 306","edinburg; tx 78539"
363,"rutgers university hospital","mda clinic","9739720977","90 bergen street suite 8100",NA,"newark; nj 07103"
364,"vanderbilt university medical center als clinic","affiliated clinic","6159360060","1211 medical center drive",NA,"nashville; tn 37232"
