CRF,CRF ID,CDE ID,CDE Name,Variable Name,Definition,Short Description,Question Text,Permissible Values,Description,Data Type,Disease Specific Instructions,Disease Specific Reference,Population,Classification,Version Number,Version Date,CRF Name,Subdomain Name,Domain Name,Size,Input Restrictions,Min Value,Max Value,Measurement Type,External Id Loinc,External Id Snomed,External Id caDSR,External Id CDISC
Functional Magnetic Resonance Imaging (fMRI),F0973,C02495,Imaging scanner strength value type,ImgScannerStrgthValTyp,"Type of value, in Tesla (T), of the scanner's magnetic field strength used for the scan being reported","Type of value, in Tesla (T), of the scanner's magnetic field strength used for the scan being reported",Magnetic Field Strength of Scanner Used,"1.5T;3.0T;4.0T;7.0T;Other, specify","1.5T;3.0T;4.0T;7.0T;Other, specify",Alphanumeric,"Choose one
",No references available,Adult;Pediatric,Supplemental,4,47:31.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10840,Functional MRI data processing software type,fMRIDatProcessingTyp,Name of the fMRI data processing software used,Name of the fMRI data processing software used,fMRI data processing software used,"SPM;AFNI;FSL;Other, specify","SPM;AFNI;FSL;Other, specify",Alphanumeric,"Choose all that apply
",No references available,Adult,Exploratory,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Multiple Pre-Defined Values Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C08245,Imaging slice count,ImgSliceCt,Count representing the total number of single image planes captured during imaging acquisition,Count representing the total number of single image planes captured during imaging acquisition,Number of slices,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18714,Imaging radio frequency coil channel count other text,ImgRFCoilChannelCtOTH,"The free-text field related to 'Imaging radio frequency coil channel count', specifying other text. Number of the coil channels in the radio frequency (RF) coil used for the imaging scan","The free-text field related to 'Imaging radio frequency coil channel count', specifying other text. Number of the coil channels in the radio frequency (RF) coil used for the imaging scan","Other, specify",,,Alphanumeric,"Record the number of coils for the applicable receiver coils.
",No references available,Adult;Pediatric,Supplemental,2,40:00.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10592,Imaging flow compensation indicator,ImgFlowCompnsatnInd,Indicator of whether flow compensation was used in imaging acquisition,Indicator of whether flow compensation was used in imaging acquisition,Flow compensation used,Yes;No;Unknown;Not applicable,Yes;No;Unknown;Not applicable,Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C02496,Imaging scanner manufacturer name,ImgScannerManufName,Name of manufacturer of imaging scanner,Name of manufacturer of imaging scanner,Name of the scanner manufacturer,"Agfa;Carestream;GE;Hitachi;Hologic;Konica Minolta;Philips;Siemens;Toshiba;Other, specify","Agfa;Carestream;GE;Hitachi;Hologic;Konica Minolta;Philips;Siemens;Toshiba;Other, specify",Alphanumeric,"Choose one
",No references available,Adult;Pediatric,Exploratory,4,21:17.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10842,Imaging analysis software name,ImgAnlysisSftwrName,Name of the software used for data processing or analysis of the imaging study,Name of the software used for data processing or analysis of the imaging stud,Software used for quantitative analysis of T1-MRI,"Scanner provided;FSL;DtiStudio;SPM;AFNI;FreeSurfer;3D SLICER;Brain Voyager;Dipy;LC model;MRICron;TrackVis;MIPAV;Other, specify","Scanner provided;FSL;DtiStudio;SPM;AFNI;FreeSurfer;3D SLICER;Brain Voyager;Dipy;LC model;MRICron;TrackVis;MIPAV;Other, specify",Alphanumeric,"Choose all that apply
",No references available,Adult;Pediatric,Supplemental,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Multiple Pre-Defined Values Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18715,Imaging radio frequency coil other text,ImgRFCoilOTH,The free-text field related to 'Imaging radio frequency coil type' specifying other text. Type of radio frequency (RF) coil(s) used for the body part scanned,The free-text field related to 'Imaging radio frequency coil type' specifying other text. Type of radio frequency (RF) coil(s) used for the body part scanned,"Other, specify",,,Alphanumeric,"Check all that apply
",No references available,Adult;Pediatric,Supplemental,1,34:46.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10567,Imaging radio frequency coil type,ImgRFCoilTyp,Type of radio frequency (RF) coil(s) used for the body part scanned,Type of radio frequency (RF) coil(s) used for the body part scanned,RF receiver coil and number of channels,"Head coil;Neck coil;Spine array;Body coil (transmit);Double-cone;Circular;Figure 8;Other, specify","Head coil;Neck coil;Spine array;Body coil (transmit);Double-cone;Circular;Figure 8;Other, specify",Alphanumeric,"Check all that apply
",No references available,Adult;Pediatric,Supplemental,3.1,47:34.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Multiple Pre-Defined Values Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10593,Imaging fat signal suppressed indicator,ImgFatSignalSuppressedInd,Indicator as to whether or not fat signal was suppressed in imaging acquisition,Indicator as to whether or not fat signal was suppressed in imaging acquisition,Fat signal suppressed,Yes;No;Unknown;Not applicable,Yes;No;Unknown;Not applicable,Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C02498,Imaging scanner software version number text,ImgScannerSftwrVrsnNumTxt,Free-text field specifying the version number of the imaging scanner software,Free-text field specifying the version number of the imaging scanner software,Version Number,,,Alphanumeric,"No instructions available
",No references available,Adult;Pediatric,Exploratory,4,21:17.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10843,Imaging analysis software version number,ImgAnlysisSftwrVrsnNum,The version number of the software used for quantitative analysis of the imaging study,The version number of the software used for quantitative analysis of the imaging study,Software version number,,,Alphanumeric,"Record the version number of the software
",No references available,Adult;Pediatric,Supplemental,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18716,Imaging scanner manufacturer name other text,ImgScannerManufNameOTH,"The free-text field related to 'Imaging scanner manufacturer name', specifying other text. Name of manufacturer of imaging scanner","The free-text field related to 'Imaging scanner manufacturer name', specifying other text. Name of manufacturer of imaging scanner","Other, specify",,,Alphanumeric,"Choose one
",No references available,Adult;Pediatric,Exploratory,2,09:35.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10568,Imaging radio frequency coil channel count,ImgRFCoilChannelCt,Number of the coil channels in the radio frequency (RF) coil used for the imaging scan,Number of the coil channels in the radio frequency (RF) coil used for the imaging scan,RF receiver coil and number of channels,"1;8;12 channels;16;24;32 channels;Other, specify","Single coil;8 channels;12 channels;16 channels;24 channels;32 channels;Other, specify",Alphanumeric,"Record the number of coils for the applicable receiver coils.
",No references available,Adult;Pediatric,Supplemental,3,38:01.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10594,Imaging parallel acquisition used indicator,ImgParallelAcquistionUsedInd,Indicator of whether a parallel acquisition method is used in imaging acquisition,Indicator of whether a parallel acquisition method is used in imaging acquisition,Parallel acquisition used,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters.
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C02499,Imaging pulse sequence type,ImgPulseSeqTyp,Type of imaging pulse sequence used,Type of imaging pulse sequence used,Sequences used,"T1;T2;FLAIR;DWI;GRE;SWI;DTI;MRSI;PWI;Gradient-echo;Pulsed-ASL;Continuous-ASL;Pseudocontinuous-ASL;Post-contrast FLAIR;Post-contrast T1-weighted;COW MRA;TOF Neck MRA;CE MRA;Other, specify;FLASH;MPRAGE;SPGR;SPACE/VISTA;TSE/FSE;Dual echo PD/T2W SE;PD SE;T2W SE;T1W SE;T1W 3D gradient-echo;T1-weighted spin echo with contrast;T1-weighted spin echo without contrast;PD/T2W FSE;DIR;PSIR;fMRI;PRESS;Spectroscopic imaging 2D;Spectroscopic imaging 3D;Spin echo;STEAM;Single voxel spectroscopy (SVS);Pulsed-ASL;Continuous-ASL;Pseudocontinuous-ASL;Multivoxel spectroscopy;Unlocalized spectroscopy;ISIS;DWI/ADC;rFOV;EPI","T1;T2;FLAIR;DWI;GRE;SWI;DTI;MRSI;PWI;Gradient-echo;Pulsed-ASL;Continuous-ASL;Pseudocontinuous-ASL;Post-contrast FLAIR;Post-contrast T1-weighted;COW MRA;TOF Neck MRA;CE MRA;Other, specify;FLASH;MPRAGE;SPGR;SPACE/VISTA;TSE/FSE;Dual echo PD/T2W SE;PD SE;T2W SE;T1W SE;T1W 3D gradient-echo;T1-weighted spin echo with contrast;T1-weighted spin echo without contrast;PD/T2W FSE;DIR;PSIR;fMRI;PRESS;Spectroscopic imaging 2D;Spectroscopic imaging 3D;Spin echo;STEAM;Single voxel spectroscopy (SVS);Pulsed-ASL;Continuous-ASL;Pseudocontinuous-ASL;Multivoxel spectroscopy;Unlocalized spectroscopy;ISIS;DWI/ADC;Reduced field of view (rFOV);Echo Planar Imaging (EPI)",Alphanumeric,"Choose all that apply
",No references available,Adult;Pediatric,Supplemental,4,47:35.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Multiple Pre-Defined Values Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10927,Imaging inversion time duration,ImgInversionTimeDur,Duration of the time period between the 180 degree inversion pulse and the 90 degree excitation pulse in an Inversion Recovery pulse sequence,Duration of the time period between the 180 degree inversion pulse and the 90 degree excitation pulse in an Inversion Recovery pulse sequence,Inversion time (TI),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank.
",No references available,Adult;Pediatric,Exploratory,3.1,47:46.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millisecond,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18718,Imaging scanner strength value type other text,ImgScannerStrgthValTypOTH,"The free-text field related to 'Imaging scanner strength value type', specifying other text. Type of value, in Tesla (T), of the scanner's magnetic field strength used for the scan being reported","The free-text field related to 'Imaging scanner strength value type', specifying other text. Type of value, in Tesla (T), of the scanner's magnetic field strength used for the scan being reported","Other, specify",,,Alphanumeric,"Choose one
",No references available,Adult;Pediatric,Supplemental,2.1,21:17.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10576,Imaging in plane resolution axis 1 measurement,ImgInPlaneRsltnAxis1Measr,Measurement of axis 1 of in-plane spatial resolution used in imaging acquisition,Measurement of axis 1 of in-plane spatial resolution used in imaging acquisition,In-plane resolution,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.1,47:41.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,square millimeter,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10595,Imaging parallel acquisition used type,ImgParallelAcquistionMethodTyp,Type of the parallel acquisition method used in imaging acquisition,Type of the parallel acquisition method used in imaging acquisitio,Method,"GRAPPA;SENSE;Other, specify","Generalized Autocalibrating Partially Parallel Acquisition (GRAPPA);Sensitivity Encoding SENSE;Other, specify",Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C08236,Imaging scanner software name,ImgScannerSftwrName,Name of the scanner software that runs the imaging camera,Name of the scanner software that runs the imaging camera,Name,,,Alphanumeric,"Record the scanner software name
",No references available,Adult;Pediatric,Supplemental,3,38:01.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C17785,Functional MRI data processing software Additional detail text,FMRIDatPrcssSftwrAddtnlDetlTxt,Additional details regarding the fMRI data processing software used,Additional details regarding the fMRI data processing software used,Additional Details,,,Alphanumeric,,No references available,Adult,Supplemental,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,255,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18719,Imaging slice orientation type other text,ImgSliceOrientTypOTH,"The free-text field related to 'Imaging slice orientation type', specifying other text. The slice orientation used in imaging acquisition","The free-text field related to 'Imaging slice orientation type', specifying other text. The slice orientation used in imaging acquisition","Other, specify",,,Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,2,08:41.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10583,Imaging base resolution value,ImgBaseResolutionVal,Value in points of the base resolution used in imaging acquisition as part of Diffusion Tensor Imaging (DTI),Value in points of the base resolution used in imaging acquisition as part of Diffusion Tensor Imaging (DTI,Base resolution,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,38:01.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,point,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10596,Imaging slice over sampling value,ImgSliceOverSampVal,Value of the slice over sampling (as a percentage) used in imaging acquisition,Value of the slice over sampling (as a percentage) used in imaging acquisition,Slice over sampling,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank.
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,percent,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C08238,Imaging repetition gap duration,ImgRepetitionGapDur,"Duration between successive pulse sequences, in milliseconds, applied to the same slice during imaging acquisition","Duration between successive pulse sequences, in milliseconds, applied to the same slice during imaging acquisition",Repetition time (TR),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.1,47:45.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millisecond,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C17811,Imaging phase partial Fourier value,ImgPhasPartialFourierVal,"Value of the phase partial Fourier ratio, if used in imaging acquisition","Value of the phase partial Fourier ratio, if used in imaging acquisition",Partial Fourier,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank.
",No references available,Adult;Pediatric,Supplemental,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18811,Functional MRI data processing software other text,fMRIDatProcessingOTH,The free-text field related to 'Functional MRI data processing software type'. Name of the fMRI data processing software used,The free-text field related to 'Functional MRI data processing software type'. Name of the fMRI data processing software used,"Other, specify",,,Alphanumeric,"Choose all that apply
",No references available,Adult,Exploratory,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,4000,"Free-Form Entry
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10584,Imaging phase resolution percentage value,ImgPhasResltnPercentVal,The value in percent of the phase resolution used in imaging acquisition,The value in percent of the phase resolution used in imaging acquisition,Phase Resolution,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters.
",No references available,Adult;Pediatric,Exploratory,3,38:01.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,percent,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10685,Imaging slice orientation type,ImgSliceOrientTyp,Type of slice orientation used in imaging acquisition,Type of slice orientation used in imaging acquisition,Slice orientation,"Axial;Coronal;Sagittal;Oblique;Transversal;Other, specify","Axial;Coronal;Sagittal;Oblique;Transversal;Other, specify",Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.1,47:40.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C08239,Imaging echo duration,ImgEchoDur,"Duration between the application of the 90 degree pulse and the peak of the echo signal, in milliseconds, during the spin echo and inversion recovery pulse sequences in imaging acquisition","Duration between the application of the 90 degree pulse and the peak of the echo signal, in milliseconds, during the spin echo and inversion recovery pulse sequences in imaging acquisition",Echo time (TE),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Supplemental,3.2,21:17.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millisecond,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18610,Imaging in plane resolution axis 2 measurement,ImgInPlaneRsltnAxis2Measr,Axis 2 of in-plane spatial resolution used in imaging acquisition,Axis 2 of in-plane spatial resolution used in imaging acquisition,,,,Numeric Values,,,Adult;Pediatric,Supplemental,1,00:00.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millimeter,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10585,Imaging phase partial Fourier indicator,ImgPhasPartialFourierInd,Indicator of whether phase partial Fourier was used,Indicator of whether phase partial Fourier was used,Partial Fourier,Yes;No;Unknown,Yes;No;Unknown,Alphanumeric,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10835,Imaging resting eye state status,ImgRestEyeStateStatus,The position of eyes at resting state during the imaging study,The position of eyes at resting state during the imaging study,Resting state with eyes,Closed-awake;Closed-sleep;Open-fixated;Open-random,Closed-awake;Closed-sleep;Open-fixated;Open-random,Alphanumeric,"Choose one
",No references available,Adult,Supplemental,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C08240,Imaging flip angle measurement,ImgFlipAngleMeasr,"Measurement of the angle, in degrees, over which the radio frequency changes proton spin angle","Measurement of the angle, in degrees over which the radio frequency changes proton spin angle",Flip angle (FA),,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank.
",No references available,Adult;Pediatric,Exploratory,3.1,21:17.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,degree,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C18611,Imaging field of view axis 2 measurement,ImgFieldViewAxis2Measr,Axis 2 of the image that is visible through the camera at a particular position in orientation and space in millimeters,Axis 2 of the image that is visible through the camera at a particular position in orientation and space in millimeters,,,,Numeric Values,,,Adult;Pediatric,Supplemental,1,00:00.0,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,millimeter,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10586,Imaging bandwidth value,ImgBandwidthVal,"Value, in Hertz per pixel, of bandwidth used in imaging acquisition","Value, in Hertz per pixel, of bandwidth used in imaging acquisitio",Band width,,,Numeric Values,"If the sequences are different for T1 and T2 sequence parameters, record the T2 parameters as indicated. If they are the same, leave the T2 parameters section blank. If the sequences are different for T1 and FLAIR sequence parameters, record the FLAIR parameters as indicated. If they are the same, leave the FLAIR parameters section blank. DTI sequence parameters
",No references available,Adult;Pediatric,Exploratory,3,54:08.2,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Free-Form Entry
",,,Hertz per pixel,,,,
Functional Magnetic Resonance Imaging (fMRI),F0973,C10836,Imaging functional task type,ImgFunctionTaskTyp,The functional status of the participant/subject when tasks are of a certain type,The functional status of the participant/subject when tasks are of a certain type,Functional with tasks as,Block designed;Event related,Block designed;Event related,Alphanumeric,"Choose one
",No references available,Adult,Supplemental,3,57:17.8,Functional Magnetic Resonance Imaging (fMRI),Imaging Diagnostics,Assessments and Examinations,,"Single Pre-Defined Value Selected
",,,,,,,
Demographics-General Core,F1807,C58780,Birth sex assigned type other text,BirthSexAssignTypOTH,"The free-text field related to 'Birth sex assigned type', specifying other text","The free-text field related to 'Birth sex assigned type', specifying other tex","Other, specify",,,Alphanumeric,,,Adult;Pediatric,Supplemental,1,47:54.0,General Core,Demographics,Participant Characteristics,4000,"Free-Form Entry
",,,,,,,
Demographics-General Core,F1807,C58781,Gender identity type other text,GenderIdTypOTH,"The free-text field related to 'Gender identity type', specifying other text","The free-text field related to 'Gender identity type', specifying other tex","Other, specify",,,Alphanumeric,,,Adult;Pediatric,Supplemental,1,50:12.0,General Core,Demographics,Participant Characteristics,4000,"Free-Form Entry
",,,,,,,
Demographics-General Core,F1807,C58676,Birth sex assigned type,BirthSexAssignTyp,"Self-reported phenotypic sex of participant/subject, assigned at birth","Self-reported phenotypic sex of participant/subject, assigned at birt",Sex assigned at birth,"Male;Female;Intersex;Unknown;Other, specify","Male;Female;Intersex;Unknown;Other, specify",Alphanumeric,,,Adult;Pediatric,Core,1,00:16.0,General Core,Demographics,Participant Characteristics,,"Single Pre-Defined Value Selected
",,,,,,,
Demographics-General Core,F1807,C58677,Gender identity type,GenderIdTyp,Gender identity self-identified by the subject/participant. Gender type may or may not match sex assigned at birth,Gender identity self-identified by the subject/participant. Gender type may or may not match sex assigned at birt,Gender identity,"Male;Female;Unknown;Other, specify","Male;Female;Unknown;Other, specify",Alphanumeric,,,Adult;Pediatric,Core,1,20:24.0,General Core,Demographics,Participant Characteristics,,"Single Pre-Defined Value Selected
",,,,,,,
